City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,3,Maheshwaram Hyderabad,25000,2238 sqft,Villa,Semi-Furnished,North,Garden/Park,3,3,Bachelors,Immediately
Hyderabad,4,Osman Nagar Hyderabad,80000,3333 sqft,House,Furnished,East,"Garden/Park, Pool, Main Road",3,4,Family,Immediately
Hyderabad,3,"Akshay Fortune, Alwal, Hyderabad",24000,1256 sqft,Flat,Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"Koncept Ambience The Botanika Empress, Gachibowli, Hyderabad",1.2 Lac,1451 sqft,Flat,Semi-Furnished,South,"Garden/Park, Main Road",3,,Bachelors/Family,Immediately
Hyderabad,3,"SMR Vinay Technopolis, Kondapur, Hyderabad",60000,2300 sqft,Flat,Semi-Furnished,East,"Main Road, Pool",4,3,Bachelors/Family,Immediately
Hyderabad,2,"Banjara Hills, NH 9, Hyderabad",1.5 Lac,2000 sqft,Flat,Furnished,,Main Road,3,2,Bachelors,Immediately
Hyderabad,2,Beeramguda Ramachandrapuram Hyderabad,12000,150 sqyrd,House,Unfurnished,East,Main Road,2,,Bachelors,Immediately
Hyderabad,3,"Auro The Regent, Kondapur, Hyderabad",50000,1200 sqft,Flat,Semi-Furnished,North,"Main Road, Garden/Park",3,1,Bachelors,Immediately
Bangalore,3,"Phoenix One Bangalore West, Rajajinagar, Bangalore",2.5 Lac,2400 sqft,Flat,Furnished,East,"Garden/Park, Pool, Main Road",4,2,Bachelors/Family,Immediately
Bangalore,5,"Total Environment Windmills Of Your Mind, Whitefield, Bangalore",4.5 Lac,6500 sqft,Flat,Semi-Furnished,West,Garden/Park,5,3,Bachelors/Family,Immediately
Bangalore,4,"Brigade Gateway, Rajajinagar, Bangalore",1.2 Lac,2000 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",4,3,Bachelors/Family,Immediately
Bangalore,3,"Prestige Ferns Residency, Haralur, Bangalore",80000,1320 sqft,Flat,Furnished,North,"Garden/Park, Pool",3,2,Family,Immediately
Bangalore,3,"Prestige Shantiniketan, Whitefield, Bangalore",85000,1800 sqft,Flat,Furnished,North - East,"Pool, Garden/Park, Main Road",3,3,Bachelors,Immediately
Bangalore,4,Haralur Main Road Bangalore,1.5 Lac,2300 sqft,Villa,Furnished,East,Garden/Park,4,2,Family,Immediately
Bangalore,3,"NCC Urban Nagarjuna Premier, Kanakapura Road, Bangalore",62000,1250 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Bangalore,3,"Banyan Tree, Bellandur, Outer Ring Road, Bangalore",75000,2000 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Bangalore,2,"Mantri Serenity, Kanakapura Road, Bangalore",36000,1040 sqft,Flat,Semi-Furnished,South,"Pool, Garden/Park",2,1,Bachelors/Family,Immediately
Bangalore,3,"Mantri Serenity, Kanakapura Road, Bangalore",65000,1710 sqft,Flat,Semi-Furnished,East,"Pool, Main Road",3,1,Bachelors,Immediately
Bangalore,4,"Richmond Town, Richmond Town, Bangalore",1.1 Lac,1850 sqft,Flat,Semi-Furnished,North,"Pool, Garden/Park, Main Road",4,3,Bachelors,Immediately
Bangalore,2,"Marathahalli, Bangalore",22000,950 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Bangalore,2,"Maithri Layout, Bangalore",32000,1150 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Bangalore,2,"Sparkle Marquise, Bannerghatta Main Road, Bangalore",57000,867 sqft,Flat,Furnished,East,Garden/Park,2,1,Bachelors,Immediately
Bangalore,3,"Purva Palm Beach, Hennur Main Road, Bangalore",54000,1300 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,2,Family,Immediately
Bangalore,1,"Btm Layout, Bangalore",23000,520 sqft,Flat,Furnished,North - East,Main Road,1,,Bachelors/Family,Immediately
Bangalore,2,"Prestige Ferns Residency, Haralur Main Road, Bangalore",65000,1000 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",2,1,Family,Immediately
Bangalore,2,"Provident Sunworth, Kengeri, Bangalore",22000,680 sqft,Flat,Semi-Furnished,North,,2,2,Bachelors/Family,Immediately
Bangalore,4,"Phoenix One Bangalore West, 2nd Block Rajajinagar, Bangalore",2.5 Lac,2900 sqft,Flat,Furnished,North - East,Garden/Park,3,3,Bachelors/Family,Immediately
Bangalore,4,Budigere Cross Bangalore,1 Lac,2520 sqft,Villa,Semi-Furnished,North - East,,4,2,Bachelors/Family,Immediately
Bangalore,3,"Hadosiddapura, Chikkakannalli Bangalore",1.1 Lac,2800 sqft,Villa,Semi-Furnished,East,"Garden/Park, Pool",4,3,Bachelors/Family,Immediately
Bangalore,3,"Bhartiya City Leela Residences, Kannuru, Bangalore",2.5 Lac,1831 sqft,Flat,Furnished,West,Main Road,4,1,Bachelors/Family,Immediately
Bangalore,4,Varthur Bangalore,1 Lac,2500 sqft,Villa,Semi-Furnished,North,Garden/Park,5,3,Bachelors/Family,Immediately
Bangalore,2,"SBR Tejas, Old Madras Road, Bangalore",31000,695 sqft,Flat,Semi-Furnished,East,Garden/Park,2,2,Bachelors/Family,Immediately
Bangalore,4,"Bellandur, Outer Ring Road Bangalore",2.7 Lac,3200 sqft,Villa,Semi-Furnished,East,"Garden/Park, Pool",5,3,Bachelors/Family,Immediately
Bangalore,3,"Prestige Tranquility, Budigere, Bangalore",62000,1800 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,1,"Godrej United, Whitefield, Bangalore",48000,613 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park",1,1,Bachelors,Immediately
Bangalore,3,"Prestige Green Gables, Panathur, Bangalore",70000,1405 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",2,2,Bachelors,From Feb '26
Bangalore,3,"Alpine Viva, Itpl, Whitefield, Bangalore",69400,2400 sqft,Flat,Semi-Furnished,North,,3,3,Bachelors/Family,Immediately
Bangalore,4,"Avalon Park At The Prestige City, Sarjapura, Bangalore",90000,1490 sqft,Flat,Semi-Furnished,East,Pool,4,2,Bachelors,Immediately
Bangalore,3,"Lavelle Road, Bangalore",3.5 Lac,2500 sqft,Flat,Semi-Furnished,,,3,2,Bachelors/Family,Immediately
Bangalore,3,"Centreo by Prime One Corp And Enessen Estates, Vajarahalli, Vajarahalli, Bangalore",75000,1239 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Bachelors/Family,Immediately
Bangalore,3,"Sanjayanagara, Bangalore",2.6 Lac,2600 sqft,Flat,Furnished,West,"Garden/Park, Main Road",3,3,Bachelors/Family,Immediately
Bangalore,3,"Vars Fernhill, Stage 2nd Hal, Bangalore",66000,1602 sqft,Flat,Semi-Furnished,North,,3,1,Family,Immediately
Bangalore,2,"Godrej 24, Sarjapur Road, Bangalore",35000,7903 sqft,Flat,Semi-Furnished,North - East,,2,,Bachelors/Family,Immediately
Bangalore,4,"L&T Raintree Boulevard, Hebbal, Bangalore",1.4 Lac,1800 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,Family,Immediately
Bangalore,4,"Sobha Royal Pavilion, Hadosiddapura, Chikkakannalli, Bangalore",1 Lac,1700 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,Bachelors/Family,Immediately
Bangalore,3,"Avalon Park At The Prestige City, Sarjapura, Bangalore",58000,1221 sqft,Flat,Semi-Furnished,East,"Pool, Main Road",3,2,Bachelors,Immediately
Bangalore,3,"Sobha Moonstone, Hebbal, Bangalore",52000,2038 sqft,Flat,Semi-Furnished,South,Garden/Park,3,3,Bachelors,Immediately
Bangalore,3,"Phoenix One Bangalore West, 3rd Block Rajajinagar, Bangalore",2.5 Lac,1752 sqft,Flat,Semi-Furnished,,,3,2,Bachelors/Family,Immediately
Bangalore,4,Sarjapura Bangalore,2 Lac,5050 sqft,Villa,Furnished,North,"Garden/Park, Main Road",4,3,Bachelors/Family,Immediately
Bangalore,1,"Prestige Finsbury Park, Bagaluru, Bangalore",23000,500 sqft,Flat,Semi-Furnished,North,Garden/Park,1,1,Bachelors/Family,Immediately
Bangalore,3,"TR Greens, Sarjapur Road, Bangalore",45000,1415 sqft,Flat,Furnished,,,2,2,Bachelors/Family,Immediately
Bangalore,2,"Prestige Finsbury Park, Bagalur Main Road, Bangalore",25000,971 sqft,Flat,Semi-Furnished,East,Pool,2,1,Bachelors/Family,Immediately
Bangalore,3,"Sobha Palm Court, Kogilu, Bangalore",50000,1632 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",3,1,Bachelors,Immediately
Bangalore,4,"Clover Leaf at Prestige White Meadows, Whitefield, Bangalore",2.5 Lac,3100 sqft,Flat,Semi-Furnished,East,Pool,4,3,Bachelors/Family,From Feb '26
Bangalore,3,"Brigade Gardenia, Rbi Layout, J P Nagar, Bangalore",42000,1650 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",2,2,Bachelors/Family,Immediately
Bangalore,2,"Vizipa Optima, Sarjapur Road, Bangalore",43000,1000 sqft,Flat,Semi-Furnished,South,Garden/Park,2,2,Bachelors,Immediately
Bangalore,3,"RNS Shanthi Nivas, Apmc Yard, Mahalakshmipuram, Bangalore",57000,1300 sqft,Flat,Semi-Furnished,North - West,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Bangalore,3,"Sobha Windsor, Immadihalli, Whitefield, Bangalore",67000,1128 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Bangalore,3,"Emerald Green Cox Town, Cox Town, Bangalore",60000,2100 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Bangalore,3,"Sobha Arena, Phase 2nd Judicial Layout, Bangalore",49000,1000 sqft,Flat,Semi-Furnished,East,Pool,3,2,Family,Immediately
Bangalore,3,"Brigade Laguna, Rachenahalli, Thanisandra, Bangalore",1.3 Lac,1408 sqft,Flat,Semi-Furnished,West,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,4,"TATA The Promont, Banashankari, Bangalore",1 Lac,3024 sqft,Flat,Semi-Furnished,South,"Garden/Park, Main Road",4,1,Bachelors,Immediately
Bangalore,1,"Eden Park At The Prestige City, Sarjapura, Bangalore",30000,619 sqft,Flat,Semi-Furnished,West,Garden/Park,1,1,Bachelors/Family,From Feb '26
Bangalore,4,Yelahanka Bangalore,5.5 Lac,5900 sqft,Villa,Unfurnished,,,4,4,Bachelors/Family,Immediately
Bangalore,3,"Jayanagar, Pattabhirama Nagar, Jayanagar, Bangalore",75000,2100 sqft,Flat,Semi-Furnished,North,Garden/Park,3,2,Bachelors,Immediately
Bangalore,2,"Saroj Orchid, Kadugodi, Bangalore",32000,1160 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",2,2,Bachelors,Immediately
Bangalore,1,"Eden Park At The Prestige City, Sarjapura, Bangalore",30000,445 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",1,1,Bachelors/Family,Immediately
Bangalore,3,"Trifecta Retto, Chikkakannalli, Bangalore",48000,1020 sqft,Flat,Semi-Furnished,North - West,Main Road,2,2,Bachelors/Family,Immediately
Bangalore,3,"Saakara Dhaaruni Residences, Mahadevapura, Bangalore",53000,1600 sqft,Flat,Furnished,East,"Garden/Park, Pool",3,3,Bachelors,Immediately
Bangalore,2,"Battarahalli, Bangalore",32000,980 sqft,Flat,Furnished,West,Main Road,2,2,Bachelors,Immediately
Bangalore,2,"Sipani Royal Heritage, Chandapura, Bangalore",25000,631 sqft,Flat,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Bangalore,2,"Delta The Signature, Doddakannelli, Bangalore",35000,1200 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
Bangalore,3,"Siddanna Layout Stage 2 Banashankari, Bangalore",75000,2000 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Family,Immediately
Bangalore,3,"L&T Raintree Boulevard, Hebbal, Bangalore",65000,1250 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,2,"Sobha Dream Gardens, Manayata Tech Park, Bangalore",35000,980 sqft,Flat,Semi-Furnished,,,2,2,Bachelors/Family,Immediately
Bangalore,3,"Trendsquares Ambience, Thanisandra Main Road, Bangalore",48000,1250 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,1,Bachelors,Immediately
Bangalore,2,Attibele Bangalore,20000,1200 sqft,Villa,Furnished,West,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Bangalore,1,"Bhartiya Nikoo Homes, Thanisandra, Bangalore",30000,459 sqft,Flat,Semi-Furnished,,,1,1,Bachelors/Family,Immediately
Bangalore,3,"Balaji Layout Cooke Town, Bangalore",1 Lac,1750 sqft,Flat,Semi-Furnished,North - East,Main Road,3,2,Bachelors/Family,Immediately
Bangalore,5,"Few Honest Words, Basavanagudi, Bangalore",2.5 Lac,4200 sqft,Flat,Semi-Furnished,South,"Pool, Garden/Park",7,4,Bachelors,Immediately
Bangalore,4,Whitefield Bangalore,2 Lac,3000 sqft,Villa,Semi-Furnished,East,Garden/Park,4,1,Bachelors/Family,Immediately
Bangalore,2,"Mantri Serenity, Kuvempu Nagar Bikasipura, Bangalore",38000,840 sqft,Flat,Semi-Furnished,North,Garden/Park,2,1,Bachelors/Family,Immediately
Bangalore,3,"Haralur Main Road, Bangalore",82000,1800 sqft,Flat,Semi-Furnished,East,Garden/Park,2,2,Family,Immediately
Bangalore,4,"Defence Colony Indiranagar, Bangalore",4 Lac,3100 sqft,Flat,Furnished,North,Main Road,4,2,Family,Immediately
Bangalore,2,"Rohan Upavan, Hennur Main Road, Bangalore",36000,690 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,1,Bachelors/Family,Immediately
Bangalore,3,"DNR Arista, Bellandur, Outer Ring Road, Bangalore",90000,1685 sqft,Flat,Semi-Furnished,East,Garden/Park,3,3,Family,Immediately
Bangalore,4,Sarjapur Road Bangalore,2.2 Lac,3708 sqft,Villa,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,Bachelors,Immediately
Bangalore,4,"Brigade Jasmine, J P Nagar, Bangalore",1 Lac,2100 sqft,Flat,Semi-Furnished,North,"Pool, Garden/Park, Main Road",4,2,Bachelors/Family,Immediately
Bangalore,3,"Saket Callipolis, Sarjapur Road, Bangalore",65000,1747 sqft,Flat,Semi-Furnished,West,Garden/Park,3,2,Bachelors,Immediately
Bangalore,3,"Prestige North Point, Kammanahalli, Bangalore",90000,1850 sqft,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors,Immediately
Bangalore,3,"DNR Casablanca, Mahadevapura, Bangalore",95000,1530 sqft,Flat,Semi-Furnished,North - West,Garden/Park,3,2,Bachelors,Immediately
Bangalore,3,Bangalore,45000,1500 sqft,Flat,Semi-Furnished,North,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,1,Hsr Layout Bangalore,14000,550 sqft,House,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Bangalore,3,"Brigade El Dorado, Huvinayakanahalli, Bangalore",23000,466 sqft,Flat,Semi-Furnished,East,,2,3,Bachelors/Family,Immediately
Bangalore,3,"Embassy Pristine, Outer Ring Road, Bangalore",1.5 Lac,2550 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Family,Immediately
Bangalore,3,"Sobha Royal Pavilion, Hadosiddapura, Chikkakannalli, Bangalore",90000,1330 sqft,Flat,Semi-Furnished,North - West,"Garden/Park, Pool",4,2,Bachelors,Immediately
Bangalore,4,RT Nagar Bangalore,1.2 Lac,3500 sqft,House,Semi-Furnished,North,Main Road,4,4,Bachelors/Family,Immediately
Bangalore,2,"Suncity Gloria, Carmelaram, Bangalore",48000,850 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",2,1,Bachelors/Family,Immediately
Bangalore,1,"Eden At Brigade Cornerstone Utopia, Whitefield, Bangalore",33000,782 sqft,Flat,Furnished,East,Garden/Park,1,1,Bachelors/Family,Immediately
Bangalore,3,"Brigade Lakefront, Whitefield, Bangalore",95000,1800 sqft,Flat,Semi-Furnished,North - East,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,4,Phase 1 Electronics City Bangalore,1.1 Lac,3800 sqft,Villa,Semi-Furnished,North,Garden/Park,5,3,Family,Immediately
Bangalore,4,"Epip Zone, Whitefield Bangalore",3.7 Lac,4000 sqft,Villa,Semi-Furnished,East,"Pool, Garden/Park",4,3,Bachelors/Family,Immediately
Bangalore,3,"Sector 5th HSR Layout, Bangalore",47000,1200 sqft,Flat,Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Bangalore,2,"Prestige Bagmane Temple Bells, RR Nagar, Bangalore",45000,900 sqft,Flat,Furnished,East,Garden/Park,2,2,Bachelors/Family,Immediately
Bangalore,3,"Century Ethos, Hebbal, Bangalore",1.6 Lac,2100 sqft,Flat,Furnished,North - East,"Garden/Park, Pool",3,10,Bachelors/Family,Immediately
Bangalore,1,"SNN Raj Etternia, Haralur Main Road, Bangalore",35000,565 sqft,Flat,Semi-Furnished,,,1,1,Bachelors/Family,From Feb '26
Bangalore,2,"Sumadhura Anandam, Whitefield, Bangalore",45000,1100 sqft,Flat,Semi-Furnished,East,Garden/Park,2,2,Bachelors,Immediately
Bangalore,3,"Block 5th Jayanagar, Bangalore",75000,1800 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,3,Family,Immediately
Bangalore,4,"Brigade Millennium, Phase 7 JP Nagar, Bangalore",82000,2200 sqft,Flat,Semi-Furnished,South,"Garden/Park, Main Road",4,2,Family,Immediately
Bangalore,2,"Ajmera Nucleus, Naidu Layout Electronic City, Bangalore",38000,773 sqft,Flat,Semi-Furnished,North,Main Road,2,1,Bachelors/Family,Immediately
Bangalore,3,"Puravankara Purva Skydale, Sarjapur Road, Bangalore",72000,1600 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,Bachelors,Immediately
Bangalore,2,"Brigade Metropolis, Mahadevapura, Bangalore",60000,950 sqft,Flat,Unfurnished,East,"Garden/Park, Pool, Main Road",2,3,Bachelors,Immediately
Bangalore,2,Whitefield Bangalore,35000,1000 sqft,House,Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Bangalore,3,"Concorde Auriga, Krishnarajapura, Bangalore",45000,1351 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,1,Bachelors,Immediately
Bangalore,3,"Skav Aastha, Mahalakshmipuram Layout, Mahalakshmipuram, Bangalore",60000,1745 sqft,Flat,Semi-Furnished,North,"Pool, Main Road",3,1,Bachelors,Immediately
Bangalore,3,"Prestige Shantiniketan, Whitefield, Bangalore",1.1 Lac,1661 sqft,Flat,Furnished,East,Garden/Park,3,2,Bachelors,Immediately
Bangalore,2,"Prestige Jade Pavilion, Devarabisanahalli, Bangalore",70000,1360 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
Bangalore,3,"Adarsh Palm Retreat Tower I, Adarsh Palm Retreat, Bellandur, Bangalore",1 Lac,1286 sqft,Flat,Semi-Furnished,North,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,2,"Amrutha Heights Phase 2, Whitefield, Bangalore",48000,1200 sqft,Flat,Semi-Furnished,East,Garden/Park,2,2,Bachelors,Immediately
Bangalore,3,"Tranquil at Brigade Cornerstone Utopia, Varthur, Bangalore",64000,1046 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Bangalore,2,"Bren Champions Square, Carmelaram, Bangalore",52000,950 sqft,Flat,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",2,1,Family,Immediately
Bangalore,3,"natasha golf view apartments, Domlur, Domlur, Bangalore",75000,1900 sqft,Flat,Semi-Furnished,,Pool,3,2,Bachelors/Family,Immediately
Bangalore,4,"Prestige Leela Residences, HAL Old Airport Road, Bangalore",3 Lac,2750 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",4,2,Bachelors,Immediately
Bangalore,1,"Block 1st Koramangala, Bangalore",30000,600 sqft,Flat,Semi-Furnished,East,Garden/Park,1,1,Bachelors,Immediately
Bangalore,2,"Defence Colony, Indiranagar, Bangalore",1.5 Lac,1200 sqft,Flat,Furnished,East,Garden/Park,2,3,Bachelors,Immediately
Bangalore,3,"Gm Palya, CV Raman Nagar, Bangalore",40000,1650 sqft,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors/Family,Immediately
Bangalore,4,Phase 2nd JP Nagar Bangalore,1.3 Lac,2975 sqft,House,Semi-Furnished,East,Main Road,4,2,Family,Immediately
Bangalore,3,"Akme Ballet, Doddanekundi, Kartik Nagar, Bangalore",78000,1950 sqft,Flat,Furnished,East,"Pool, Garden/Park",3,3,Bachelors/Family,Immediately
Bangalore,3,"Amarjyoti Layout Domlur, Bangalore",90000,2200 sqft,Flat,Furnished,West,"Garden/Park, Main Road",3,4,Family,Immediately
Bangalore,2,"Elegant Mount Sinai, Hennur Gardens, Bangalore",35000,1180 sqft,Flat,Semi-Furnished,West,Pool,2,2,Bachelors/Family,Immediately
Bangalore,2,"Prestige Finsbury Park, Bagalur Main Road, Bangalore",26000,971 sqft,Flat,Semi-Furnished,North,Garden/Park,2,1,Bachelors/Family,Immediately
Bangalore,4,Devanahalli Bangalore,1.4 Lac,3410 sqft,Villa,Semi-Furnished,East,"Garden/Park, Main Road",4,2,Bachelors/Family,Immediately
Bangalore,3,"Prestige Primrose Hills Phase 2, Kanakapura Road, Bangalore",48000,1080 sqft,Flat,Semi-Furnished,West,Pool,3,2,Family,Immediately
Bangalore,2,"Divyasree Republic of Whitefield, Whitefield, Bangalore",55000,900 sqft,Flat,Semi-Furnished,North - East,Garden/Park,2,1,Bachelors,Immediately
Bangalore,4,Stage 2 Indiranagar Bangalore,1.2 Lac,3000 sqft,Villa,Semi-Furnished,West,"Garden/Park, Main Road",4,1,Bachelors/Family,Immediately
Bangalore,2,"Rohan Vasantha, Marathahalli, Bangalore",52000,1240 sqft,Flat,Unfurnished,East,Garden/Park,2,2,Bachelors,Immediately
Bangalore,3,"DS MAX Stavam, Gantiganahalli, Bangalore",30000,788 sqft,Flat,Semi-Furnished,North,"Garden/Park, Pool",2,1,Family,Immediately
Bangalore,1,"Godrej Nurture, Phase 1 Electronics City, Bangalore",27900,618 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",1,1,Bachelors,Immediately
Bangalore,3,Whitefield Bangalore,62000,1550 sqft,Villa,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Bangalore,2,"Bren Champions Square, Carmelaram, Bangalore",60000,1035 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",2,1,Bachelors/Family,From Jan '26
Bangalore,4,"Prestige Smart City, Sarjapur Road, Bangalore",78000,1800 sqft,Flat,Semi-Furnished,North - East,Main Road,5,3,Bachelors/Family,Immediately
Bangalore,3,"Prestige Garden Bay, Yelahanka, Bangalore",55000,1780 sqft,Flat,Semi-Furnished,North,"Pool, Garden/Park",4,2,Bachelors/Family,Immediately
Bangalore,4,"SNN Raj Greenbay, Naidu Layout Electronic City, Bangalore",1.3 Lac,2400 sqft,Flat,Semi-Furnished,North,Garden/Park,4,3,Bachelors/Family,Immediately
Bangalore,3,"Indus Signature, Indiranagar, Bangalore",75000,1700 sqft,Flat,Semi-Furnished,East,Pool,3,4,Bachelors,Immediately
Bangalore,3,"Nagarjuna Maple Heights, B Narayanapura, Mahadevapura, Bangalore",70000,1500 sqft,Flat,Furnished,North - East,"Garden/Park, Pool, Main Road",3,3,Family,Immediately
Bangalore,3,"Hiranandani Glen Gate, Hebbal, Bangalore",60000,1250 sqft,Flat,Unfurnished,West,Garden/Park,3,2,Bachelors,Immediately
Bangalore,2,"Prestige Primrose Hills, Stage 6th Banashankari, Bangalore",33000,985 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",2,2,Bachelors/Family,Immediately
Bangalore,2,"Brigade Cornerstone Utopia, Varthur, Bangalore",50000,1000 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",2,1,Bachelors,Immediately
Bangalore,3,Block 4th Jayanagar Bangalore,70000,2000 sqft,House,Semi-Furnished,South -West,Pool,3,1,Bachelors,Immediately
Bangalore,2,"Sector 1st HSR Layout, Bangalore",55000,1150 sqft,Flat,Semi-Furnished,North,"Garden/Park, Main Road",2,1,Bachelors,Immediately
Bangalore,3,"Indiranagar, Bangalore",1.1 Lac,2000 sqft,Flat,Semi-Furnished,East,Garden/Park,3,3,Family,Immediately
Bangalore,3,"Salarpuria Sattva Senorita, Kaikondrahalli, Bangalore",75000,1500 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,2,Bachelors/Family,Immediately
Bangalore,4,"Advaitha Aksha, Koramangala, Bangalore",1.4 Lac,2700 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",4,2,Bachelors,Immediately
Bangalore,2,"Abhee Pride, Chandapura, Bangalore",25000,450 sqft,Flat,Semi-Furnished,West,Garden/Park,2,1,Bachelors,Immediately
Bangalore,2,"Green Glen Layout, Bellandur, Bangalore",48000,1300 sqft,Flat,Semi-Furnished,North,"Garden/Park, Pool, Main Road",2,2,Bachelors,From Jan '26
Bangalore,3,"Sumadhura Pranavam MTB, Whitefield, Bangalore",75000,1725 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,Bachelors,From Feb '26
Bangalore,3,"Cox Town, Bangalore",1.1 Lac,3000 sqft,Flat,Semi-Furnished,,"Garden/Park, Main Road",3,1,Bachelors,Immediately
Bangalore,2,"Hsr Layout, Bangalore",32000,800 sqft,Flat,Semi-Furnished,North,Main Road,1,1,Bachelors/Family,Immediately
Bangalore,3,"Mana Uber Verdant 2, Sarjapura, Bangalore",70000,1700 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,3,Bachelors,Immediately
Bangalore,3,"Total Environment Pursuit of a Radical Rhapsody, Whitefield, Bangalore",1 Lac,2900 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors/Family,Immediately
Bangalore,3,"Prestige Shantiniketan, Whitefield, Bangalore",1.1 Lac,1661 sqft,Flat,Furnished,South,"Garden/Park, Pool, Main Road",3,3,Family,Immediately
Bangalore,1,Bangalore,20000,750 sqft,Flat,Semi-Furnished,,Main Road,1,,Bachelors,Immediately
Bangalore,4,"Phoenix Kessaku, Rajajinagar, Bangalore",4.2 Lac,2800 sqft,Flat,Furnished,North - West,"Garden/Park, Pool, Main Road",5,2,Bachelors/Family,Immediately
Bangalore,2,"Doddathoguru, Electronic City, Bangalore",30000,1200 sqft,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors,Immediately
Bangalore,2,"Durga Rainbow, Mahadevapura, Bangalore",55000,1184 sqft,Flat,Semi-Furnished,East,Garden/Park,2,,Bachelors,Immediately
Bangalore,2,"Godrej Air, Thigalarapalya Hoodi, Bangalore",63000,870 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Family,Immediately
Bangalore,3,"Vaswani Exquisite, Whitefield, Bangalore",85000,1312 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,3,Bachelors/Family,Immediately
Bangalore,3,"Sterling Shalom Phase 2, Kundalahalli, Brookefield, Bangalore",82000,1235 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Family,Immediately
